add_student 2023-05-13 14:46:07
add_student 2023-05-13 14:46:15
add_student 2023-05-13 14:47:39
add_student 2023-05-25 22:31:23
add_student 2023-05-25 22:33:22
get_student 2023-05-25 22:35:03
get_student 2023-05-25 22:36:39
add_materie 2023-05-25 22:37:02
add_profesor 2023-05-25 22:50:20
get_profsor 2023-05-25 22:55:22
add_materie 2023-05-25 23:03:53
add_profesor 2023-05-25 23:04:02
add_profesor 2023-05-25 23:09:42
add_profesor 2023-05-25 23:10:05
add_sala 2023-05-25 23:10:42
add_student 2023-05-25 23:34:10
get_student 2023-05-25 23:34:26
add_materie 2023-05-25 23:34:50
add_materie 2023-05-25 23:34:57
add_profesor 2023-05-25 23:35:06
add_profesor 2023-05-25 23:35:12
add_sala 2023-05-25 23:35:24
add_sala 2023-05-25 23:35:37
add_student 2023-05-25 23:42:29
add_materie 2023-05-25 23:42:35
add_materie 2023-05-25 23:42:40
add_materie 2023-05-25 23:42:45
add_profesor 2023-05-25 23:42:51
add_profesor 2023-05-25 23:43:01
add_profesor 2023-05-25 23:43:07
add_sala 2023-05-25 23:43:34
add_sala 2023-05-25 23:43:41
add_ora 2023-05-25 23:43:57
show_orar_student 2023-05-26 00:07:16
add_ora 2023-05-26 00:09:25
show_orar_profesor 2023-05-26 00:21:27
add_sala 2023-05-26 00:30:29
add_serie 2023-05-26 00:33:31
add_ora 2023-05-26 00:42:07
show_orar_student 2023-05-26 00:42:17
show_orar_profesor 2023-05-26 00:42:32
show_orar_profesor 2023-05-26 00:47:45
show_orar_profesor 2023-05-26 00:48:03
show_orar_profesor 2023-05-26 00:48:39
show_orar_profesor 2023-05-26 00:49:23
add_sala 2023-05-26 00:56:29
add_ora 2023-05-26 00:56:48
add_ora 2023-05-26 00:57:02
show_orar_student 2023-05-26 00:57:15
show_orar_student 2023-05-26 01:01:58
show_orar_student 2023-05-26 01:03:04
show_orar_profesor 2023-05-26 01:04:00
show_orar_student 2023-05-26 01:05:22
show_orar_student 2023-05-27 12:52:18
show_orar_student 2023-05-27 12:52:52
show_orar_student 2023-05-27 12:53:18
add_student 2023-05-27 13:10:03
get_student 2023-05-27 13:10:43
get_student 2023-05-27 13:16:26
add_ora 2023-05-27 13:29:56
show_orar_profesor 2023-05-27 13:30:02
show_orar_student 2023-05-27 13:30:21
get_student 2023-05-27 13:49:30
delete_student 2023-05-27 13:49:40
add_student 2023-05-27 13:49:58
